alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,4,0,6,2.0,20.0,street_time_rho0.7,459.4275014400281,0.2066217070005223,1.0,541.4091982739518,1.0,18.0,600.0,1.5,1.0,30,80,541.4091982739518,60.0,1.0,1.0,0.0,1.0,0.0,81.9816968339237,81.9816968339237,100.0,0.7,1,E1_small,ok,10,5.0,222.18863066415315,10,street_time
1.0,1,1,8,2.0,20.0,random_length_base,8648.920472495147,0.006652756999756093,1.0,8825.246888444315,1.0,18.0,600.0,1.5,1.0,30,80,8825.246888444315,80.0,1.0,1.0,0.0,1.0,0.0,176.3264159491688,176.3264159491688,100.0,0.5,1,E1_small,ok,10,5.0,405.5335680736292,10,length
1.0,1,1,8,2.0,20.0,random_street_time_base,832.2331512730802,0.00610955800038937,1.0,1000.6393140609648,1.0,18.0,600.0,1.5,1.0,30,80,1000.6393140609648,80.0,1.0,1.0,0.0,1.0,0.0,168.40616278788457,168.40616278788457,100.0,0.5,1,E1_small,ok,10,5.0,336.53430494159204,10,street_time
1.0,2,0,8,2.0,20.0,greedy_length_base,5921.843811523459,0.006486404000497714,1.0,6064.466170332003,1.0,18.0,600.0,1.5,1.0,30,80,6064.466170332003,80.0,1.0,1.0,0.0,1.0,0.0,142.62235880854314,142.62235880854314,100.0,0.5,1,E1_small,ok,10,5.0,342.45440396682943,10,length
1.0,2,0,8,2.0,20.0,greedy_street_time_base,462.9248551969037,0.006075884999518166,1.0,617.3825900823168,1.0,18.0,600.0,1.5,1.0,30,80,617.3825900823168,80.0,1.0,1.0,0.0,1.0,0.0,154.45773488541312,154.45773488541312,100.0,0.5,1,E1_small,ok,10,5.0,294.4252006416905,10,street_time
1.0,2,0,8,2.0,20.0,length_base,5444.587347654807,0.2378458960001808,1.0,5518.016529802835,1.0,18.0,600.0,1.5,1.0,30,80,5518.016529802835,80.0,1.0,1.0,0.0,1.0,0.0,73.42918214802825,73.42918214802825,100.0,0.5,2,E1_small,ok,10,5.0,265.3069529085036,10,length
1.0,2,0,8,2.0,20.0,length_ants20,5444.587347654807,0.1643768590001855,1.0,5518.016529802835,1.0,18.0,600.0,1.5,1.0,20,80,5518.016529802835,80.0,1.0,1.0,0.0,1.0,0.0,73.42918214802825,73.42918214802825,100.0,0.5,2,E1_small,ok,10,5.0,265.3069529085036,10,length
1.0,1,0,9,2.0,20.0,length_ants40,5196.557521533378,0.30517195199990965,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,40,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,1,0,9,2.0,20.0,length_iters50,5196.557521533378,0.14446663800026727,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,50,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,1,0,9,2.0,20.0,length_iters120,5196.557521533378,0.3473545130000275,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,120,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
0.8,1,0,9,2.0,20.0,length_alpha0.8,5196.557521533378,0.23729114499928983,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.2,1,0,9,2.0,20.0,length_alpha1.2,5913.722336347395,0.23640517399962846,1.0,5985.606449415599,1.0,18.0,600.0,1.5,1.0,30,80,5985.606449415599,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,271.58080030688893,10,length
1.0,2,0,8,1.5,20.0,length_beta1.5,5444.587347654807,0.23359933199935767,1.0,5518.016529802835,1.0,18.0,600.0,1.5,1.0,30,80,5518.016529802835,80.0,1.0,1.0,0.0,1.0,0.0,73.42918214802825,73.42918214802825,100.0,0.5,2,E1_small,ok,10,5.0,265.3069529085036,10,length
1.0,1,0,9,2.5,20.0,length_beta2.5,5196.557521533378,0.2319814980000956,1.0,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
1.0,1,0,9,2.0,20.0,length_gamma0.7,5196.557521533378,0.23533740099992428,0.7,5268.441634601582,1.0,18.0,600.0,1.5,1.0,30,80,5268.441634601582,90.0,1.0,1.0,0.0,1.0,0.0,71.88411306820382,71.88411306820382,100.0,0.5,2,E1_small,ok,10,5.0,259.6280533933219,10,length
